internal_id,heatName,heatDay,heatTime,dorsal,category,name1,email1,contact1,name2,email2,contact2,name,email,contact,name3,email3,contact3,name4,email4,contact4
R10100,Hybrid Pro Team Relay - Heat 1,2025-05-15,18:00,7791-100,Hybrid Pro Team Relay,Relay Athlete 100A,jose.filipe.chavarria+relay100A@gmail.com,930000100,Relay Athlete 100B,jose.filipe.chavarria+relay100B@gmail.com,930001100,,,,Relay Athlete 100C,jose.filipe.chavarria+relay100C@gmail.com,930002100,Relay Athlete 100D,jose.filipe.chavarria+relay100D@gmail.com,930003100
R10101,Hybrid Team Relay - Heat 2,2025-05-12,13:00,1211-101,Hybrid Team Relay,Relay Athlete 101A,jose.filipe.chavarria+relay101A@gmail.com,930000101,Relay Athlete 101B,jose.filipe.chavarria+relay101B@gmail.com,930001101,,,,Relay Athlete 101C,jose.filipe.chavarria+relay101C@gmail.com,930002101,Relay Athlete 101D,jose.filipe.chavarria+relay101D@gmail.com,930003101
S10102,Hybrid Women - Heat 3,2025-05-10,15:00,3499-102,Hybrid Women,,,,,,,Name LastName Athlete 102,jose.filipe.chavarria+at102@gmail.com,910000102,,,,,,
R10103,Hybrid Pro Doubles Men - Heat 4,2025-05-10,16:30,2342-103,Hybrid Pro Doubles Men,Pair Athlete 103A,jose.filipe.chavarria+pair103A@gmail.com,920000103,Pair Athlete 103B,jose.filipe.chavarria+pair103B@gmail.com,920001103,,,,,,,,,
S10104,Hybrid Pro Men - Heat 5,2025-05-15,8:30,8334-104,Hybrid Pro Men,,,,,,,Name LastName Athlete 104,jose.filipe.chavarria+at104@gmail.com,910000104,,,,,,
R10105,Hybrid Doubles Men - Heat 6,2025-05-11,17:00,9551-105,Hybrid Doubles Men,Pair Athlete 105A,jose.filipe.chavarria+pair105A@gmail.com,920000105,Pair Athlete 105B,jose.filipe.chavarria+pair105B@gmail.com,920001105,,,,,,,,,
S10106,Hybrid Men - Heat 7,2025-05-10,16:00,8746-106,Hybrid Men,,,,,,,Name LastName Athlete 106,jose.filipe.chavarria+at106@gmail.com,910000106,,,,,,
S10107,Hybrid Women - Heat 8,2025-05-13,15:00,9764-107,Hybrid Women,,,,,,,Name LastName Athlete 107,jose.filipe.chavarria+at107@gmail.com,910000107,,,,,,
R10108,Hybrid Doubles Women - Heat 9,2025-05-13,16:30,5300-108,Hybrid Doubles Women,Pair Athlete 108A,jose.filipe.chavarria+pair108A@gmail.com,920000108,Pair Athlete 108B,jose.filipe.chavarria+pair108B@gmail.com,920001108,,,,,,,,,
R10109,Hybrid Pro Doubles Women - Heat 10,2025-05-10,18:30,3446-109,Hybrid Pro Doubles Women,Pair Athlete 109A,jose.filipe.chavarria+pair109A@gmail.com,920000109,Pair Athlete 109B,jose.filipe.chavarria+pair109B@gmail.com,920001109,,,,,,,,,
R10110,Hybrid Pro Doubles Mixed - Heat 1,2025-05-14,12:30,5036-110,Hybrid Pro Doubles Mixed,Pair Athlete 110A,jose.filipe.chavarria+pair110A@gmail.com,920000110,Pair Athlete 110B,jose.filipe.chavarria+pair110B@gmail.com,920001110,,,,,,,,,
R10111,Hybrid Pro Doubles Mixed - Heat 2,2025-05-10,12:30,2530-111,Hybrid Pro Doubles Mixed,Pair Athlete 111A,jose.filipe.chavarria+pair111A@gmail.com,920000111,Pair Athlete 111B,jose.filipe.chavarria+pair111B@gmail.com,920001111,,,,,,,,,
R10112,Hybrid Doubles Women - Heat 3,2025-05-10,15:30,4430-112,Hybrid Doubles Women,Pair Athlete 112A,jose.filipe.chavarria+pair112A@gmail.com,920000112,Pair Athlete 112B,jose.filipe.chavarria+pair112B@gmail.com,920001112,,,,,,,,,
R10113,Hybrid Pro Doubles Mixed - Heat 4,2025-05-13,13:00,2335-113,Hybrid Pro Doubles Mixed,Pair Athlete 113A,jose.filipe.chavarria+pair113A@gmail.com,920000113,Pair Athlete 113B,jose.filipe.chavarria+pair113B@gmail.com,920001113,,,,,,,,,
R10114,Hybrid Doubles Mixed - Heat 5,2025-05-12,18:00,1775-114,Hybrid Doubles Mixed,Pair Athlete 114A,jose.filipe.chavarria+pair114A@gmail.com,920000114,Pair Athlete 114B,jose.filipe.chavarria+pair114B@gmail.com,920001114,,,,,,,,,
S10115,Hybrid Women - Heat 6,2025-05-11,12:30,6095-115,Hybrid Women,,,,,,,Name LastName Athlete 115,jose.filipe.chavarria+at115@gmail.com,910000115,,,,,,
R10116,Hybrid Pro Doubles Men - Heat 7,2025-05-10,8:30,4445-116,Hybrid Pro Doubles Men,Pair Athlete 116A,jose.filipe.chavarria+pair116A@gmail.com,920000116,Pair Athlete 116B,jose.filipe.chavarria+pair116B@gmail.com,920001116,,,,,,,,,
R10117,Hybrid Pro Team Relay - Heat 8,2025-05-12,14:00,6961-117,Hybrid Pro Team Relay,Relay Athlete 117A,jose.filipe.chavarria+relay117A@gmail.com,930000117,Relay Athlete 117B,jose.filipe.chavarria+relay117B@gmail.com,930001117,,,,Relay Athlete 117C,jose.filipe.chavarria+relay117C@gmail.com,930002117,Relay Athlete 117D,jose.filipe.chavarria+relay117D@gmail.com,930003117
R10118,Hybrid Doubles Men - Heat 9,2025-05-11,11:30,1095-118,Hybrid Doubles Men,Pair Athlete 118A,jose.filipe.chavarria+pair118A@gmail.com,920000118,Pair Athlete 118B,jose.filipe.chavarria+pair118B@gmail.com,920001118,,,,,,,,,
S10119,Hybrid Men - Heat 10,2025-05-12,13:30,4950-119,Hybrid Men,,,,,,,Name LastName Athlete 119,jose.filipe.chavarria+at119@gmail.com,910000119,,,,,,
R10120,Hybrid Pro Doubles Men - Heat 1,2025-05-14,11:30,9880-120,Hybrid Pro Doubles Men,Pair Athlete 120A,jose.filipe.chavarria+pair120A@gmail.com,920000120,Pair Athlete 120B,jose.filipe.chavarria+pair120B@gmail.com,920001120,,,,,,,,,
R10121,Hybrid Pro Doubles Women - Heat 2,2025-05-10,14:30,8132-121,Hybrid Pro Doubles Women,Pair Athlete 121A,jose.filipe.chavarria+pair121A@gmail.com,920000121,Pair Athlete 121B,jose.filipe.chavarria+pair121B@gmail.com,920001121,,,,,,,,,
S10122,Hybrid Pro Men - Heat 3,2025-05-15,12:30,9519-122,Hybrid Pro Men,,,,,,,Name LastName Athlete 122,jose.filipe.chavarria+at122@gmail.com,910000122,,,,,,
S10123,Hybrid Women - Heat 4,2025-05-12,16:00,9590-123,Hybrid Women,,,,,,,Name LastName Athlete 123,jose.filipe.chavarria+at123@gmail.com,910000123,,,,,,
R10124,Hybrid Pro Doubles Mixed - Heat 5,2025-05-12,9:00,2525-124,Hybrid Pro Doubles Mixed,Pair Athlete 124A,jose.filipe.chavarria+pair124A@gmail.com,920000124,Pair Athlete 124B,jose.filipe.chavarria+pair124B@gmail.com,920001124,,,,,,,,,
S10125,Hybrid Pro Women - Heat 6,2025-05-14,16:00,6689-125,Hybrid Pro Women,,,,,,,Name LastName Athlete 125,jose.filipe.chavarria+at125@gmail.com,910000125,,,,,,
S10126,Hybrid Pro Men - Heat 7,2025-05-14,16:30,7945-126,Hybrid Pro Men,,,,,,,Name LastName Athlete 126,jose.filipe.chavarria+at126@gmail.com,910000126,,,,,,
R10127,Hybrid Pro Doubles Women - Heat 8,2025-05-10,15:00,4114-127,Hybrid Pro Doubles Women,Pair Athlete 127A,jose.filipe.chavarria+pair127A@gmail.com,920000127,Pair Athlete 127B,jose.filipe.chavarria+pair127B@gmail.com,920001127,,,,,,,,,
R10128,Hybrid Pro Doubles Women - Heat 9,2025-05-10,18:30,8516-128,Hybrid Pro Doubles Women,Pair Athlete 128A,jose.filipe.chavarria+pair128A@gmail.com,920000128,Pair Athlete 128B,jose.filipe.chavarria+pair128B@gmail.com,920001128,,,,,,,,,
R10129,Hybrid Pro Doubles Men - Heat 10,2025-05-14,10:30,9172-129,Hybrid Pro Doubles Men,Pair Athlete 129A,jose.filipe.chavarria+pair129A@gmail.com,920000129,Pair Athlete 129B,jose.filipe.chavarria+pair129B@gmail.com,920001129,,,,,,,,,
R10130,Hybrid Pro Doubles Mixed - Heat 1,2025-05-14,15:00,1424-130,Hybrid Pro Doubles Mixed,Pair Athlete 130A,jose.filipe.chavarria+pair130A@gmail.com,920000130,Pair Athlete 130B,jose.filipe.chavarria+pair130B@gmail.com,920001130,,,,,,,,,
S10131,Hybrid Women - Heat 2,2025-05-13,11:30,7050-131,Hybrid Women,,,,,,,Name LastName Athlete 131,jose.filipe.chavarria+at131@gmail.com,910000131,,,,,,
S10132,Hybrid Women - Heat 3,2025-05-11,18:00,6802-132,Hybrid Women,,,,,,,Name LastName Athlete 132,jose.filipe.chavarria+at132@gmail.com,910000132,,,,,,
S10133,Hybrid Pro Men - Heat 4,2025-05-14,18:30,3991-133,Hybrid Pro Men,,,,,,,Name LastName Athlete 133,jose.filipe.chavarria+at133@gmail.com,910000133,,,,,,
R10134,Hybrid Pro Doubles Mixed - Heat 5,2025-05-12,13:30,8573-134,Hybrid Pro Doubles Mixed,Pair Athlete 134A,jose.filipe.chavarria+pair134A@gmail.com,920000134,Pair Athlete 134B,jose.filipe.chavarria+pair134B@gmail.com,920001134,,,,,,,,,
R10135,Hybrid Pro Doubles Men - Heat 6,2025-05-12,8:00,2323-135,Hybrid Pro Doubles Men,Pair Athlete 135A,jose.filipe.chavarria+pair135A@gmail.com,920000135,Pair Athlete 135B,jose.filipe.chavarria+pair135B@gmail.com,920001135,,,,,,,,,
R10136,Hybrid Pro Doubles Women - Heat 7,2025-05-14,8:00,3801-136,Hybrid Pro Doubles Women,Pair Athlete 136A,jose.filipe.chavarria+pair136A@gmail.com,920000136,Pair Athlete 136B,jose.filipe.chavarria+pair136B@gmail.com,920001136,,,,,,,,,
R10137,Hybrid Pro Doubles Women - Heat 8,2025-05-15,14:30,1292-137,Hybrid Pro Doubles Women,Pair Athlete 137A,jose.filipe.chavarria+pair137A@gmail.com,920000137,Pair Athlete 137B,jose.filipe.chavarria+pair137B@gmail.com,920001137,,,,,,,,,
S10138,Hybrid Pro Men - Heat 9,2025-05-13,8:00,9091-138,Hybrid Pro Men,,,,,,,Name LastName Athlete 138,jose.filipe.chavarria+at138@gmail.com,910000138,,,,,,
R10139,Hybrid Pro Team Relay - Heat 10,2025-05-15,8:30,5069-139,Hybrid Pro Team Relay,Relay Athlete 139A,jose.filipe.chavarria+relay139A@gmail.com,930000139,Relay Athlete 139B,jose.filipe.chavarria+relay139B@gmail.com,930001139,,,,Relay Athlete 139C,jose.filipe.chavarria+relay139C@gmail.com,930002139,Relay Athlete 139D,jose.filipe.chavarria+relay139D@gmail.com,930003139
R10140,Hybrid Pro Doubles Men - Heat 1,2025-05-14,13:00,3771-140,Hybrid Pro Doubles Men,Pair Athlete 140A,jose.filipe.chavarria+pair140A@gmail.com,920000140,Pair Athlete 140B,jose.filipe.chavarria+pair140B@gmail.com,920001140,,,,,,,,,
R10141,Hybrid Team Relay - Heat 2,2025-05-13,9:30,5525-141,Hybrid Team Relay,Relay Athlete 141A,jose.filipe.chavarria+relay141A@gmail.com,930000141,Relay Athlete 141B,jose.filipe.chavarria+relay141B@gmail.com,930001141,,,,Relay Athlete 141C,jose.filipe.chavarria+relay141C@gmail.com,930002141,Relay Athlete 141D,jose.filipe.chavarria+relay141D@gmail.com,930003141
S10142,Hybrid Men - Heat 3,2025-05-11,9:00,1517-142,Hybrid Men,,,,,,,Name LastName Athlete 142,jose.filipe.chavarria+at142@gmail.com,910000142,,,,,,
R10143,Hybrid Doubles Mixed - Heat 4,2025-05-12,11:00,9900-143,Hybrid Doubles Mixed,Pair Athlete 143A,jose.filipe.chavarria+pair143A@gmail.com,920000143,Pair Athlete 143B,jose.filipe.chavarria+pair143B@gmail.com,920001143,,,,,,,,,
R10144,Hybrid Pro Doubles Women - Heat 5,2025-05-13,16:30,5460-144,Hybrid Pro Doubles Women,Pair Athlete 144A,jose.filipe.chavarria+pair144A@gmail.com,920000144,Pair Athlete 144B,jose.filipe.chavarria+pair144B@gmail.com,920001144,,,,,,,,,
R10145,Hybrid Pro Team Relay - Heat 6,2025-05-15,12:00,7702-145,Hybrid Pro Team Relay,Relay Athlete 145A,jose.filipe.chavarria+relay145A@gmail.com,930000145,Relay Athlete 145B,jose.filipe.chavarria+relay145B@gmail.com,930001145,,,,Relay Athlete 145C,jose.filipe.chavarria+relay145C@gmail.com,930002145,Relay Athlete 145D,jose.filipe.chavarria+relay145D@gmail.com,930003145
R10146,Hybrid Pro Doubles Women - Heat 7,2025-05-11,17:00,6864-146,Hybrid Pro Doubles Women,Pair Athlete 146A,jose.filipe.chavarria+pair146A@gmail.com,920000146,Pair Athlete 146B,jose.filipe.chavarria+pair146B@gmail.com,920001146,,,,,,,,,
R10147,Hybrid Pro Team Relay - Heat 8,2025-05-13,16:00,6535-147,Hybrid Pro Team Relay,Relay Athlete 147A,jose.filipe.chavarria+relay147A@gmail.com,930000147,Relay Athlete 147B,jose.filipe.chavarria+relay147B@gmail.com,930001147,,,,Relay Athlete 147C,jose.filipe.chavarria+relay147C@gmail.com,930002147,Relay Athlete 147D,jose.filipe.chavarria+relay147D@gmail.com,930003147
S10148,Hybrid Pro Men - Heat 9,2025-05-12,17:00,1810-148,Hybrid Pro Men,,,,,,,Name LastName Athlete 148,jose.filipe.chavarria+at148@gmail.com,910000148,,,,,,
S10149,Hybrid Pro Men - Heat 10,2025-05-14,9:30,7840-149,Hybrid Pro Men,,,,,,,Name LastName Athlete 149,jose.filipe.chavarria+at149@gmail.com,910000149,,,,,,
R10150,Hybrid Doubles Women - Heat 1,2025-05-13,12:00,4474-150,Hybrid Doubles Women,Pair Athlete 150A,jose.filipe.chavarria+pair150A@gmail.com,920000150,Pair Athlete 150B,jose.filipe.chavarria+pair150B@gmail.com,920001150,,,,,,,,,
